epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2503.47,0.97439,0.54961,1.13162,0.94084,0.96792,0.97374,0.70295,0.73125,0.3829,1.05081,0.00636688,0.00636688,0.00636688
60,2545.9,0.93283,0.51198,1.0798,0.919,0.95212,0.9599,0.72584,0.71393,0.37694,1.04048,0.00625949,0.00625949,0.00625949
61,2588.12,0.93454,0.50128,1.05619,0.9594,0.96053,0.97904,0.71191,0.72981,0.38584,1.04887,0.00615148,0.00615148,0.00615148
62,2630.6,0.96688,0.50609,1.08161,0.95318,0.96061,0.98672,0.721,0.73995,0.39581,1.04507,0.00604292,0.00604292,0.00604292
63,2673.18,0.96689,0.49019,1.08999,0.9418,0.95602,0.96827,0.7264,0.71007,0.38946,1.01839,0.00593386,0.00593386,0.00593386
64,2715.48,1.0238,0.5076,1.11595,0.95504,0.97101,0.9808,0.71409,0.72093,0.37694,1.02848,0.00582435,0.00582435,0.00582435
65,2757.93,0.99142,0.50757,1.08553,0.94194,0.97368,0.9735,0.72499,0.70861,0.36255,1.02247,0.00571445,0.00571445,0.00571445
66,2799.86,0.90908,0.48833,1.06099,0.94113,0.95862,0.96655,0.70671,0.72715,0.36642,1.03463,0.00560422,0.00560422,0.00560422
67,2841.33,0.88136,0.48538,1.06763,0.93668,0.94008,0.951,0.7097,0.7061,0.41472,1.02231,0.00549371,0.00549371,0.00549371
68,2882.83,0.91068,0.48564,1.06109,0.96047,0.97368,0.97122,0.73237,0.67735,0.35654,1.01597,0.00538298,0.00538298,0.00538298
69,2925.17,0.92756,0.4917,1.09138,0.96883,0.97358,0.97155,0.71558,0.71656,0.40089,1.03517,0.00527208,0.00527208,0.00527208
70,2967.4,0.95125,0.52388,1.12079,0.93895,0.96053,0.96197,0.71128,0.68095,0.44227,1.01714,0.00516107,0.00516107,0.00516107
71,3009.77,0.94647,0.50896,1.08816,0.9333,0.96053,0.96002,0.74,0.67278,0.37306,1.0087,0.00505,0.00505,0.00505
72,3052.18,0.94538,0.4938,1.11809,0.94477,0.94737,0.9561,0.72633,0.68801,0.38772,1.0274,0.00493893,0.00493893,0.00493893
73,3094.42,0.94714,0.47247,1.08772,0.96784,0.95723,0.97771,0.73574,0.67354,0.37215,1.02052,0.00482792,0.00482792,0.00482792
74,3136.72,0.88708,0.47747,1.09032,0.95537,0.96623,0.9837,0.7464,0.67814,0.36445,1.0168,0.00471702,0.00471702,0.00471702
75,3178.78,0.90074,0.48453,1.10962,0.96274,0.94737,0.97849,0.72261,0.70124,0.3617,1.03006,0.00460629,0.00460629,0.00460629
76,3221.01,0.89912,0.46352,1.06781,0.99276,0.97133,0.98797,0.74432,0.72302,0.38033,1.03983,0.00449578,0.00449578,0.00449578
77,3263.23,0.95517,0.4769,1.1004,0.96944,0.94737,0.96653,0.74908,0.65321,0.35876,1.011,0.00438555,0.00438555,0.00438555
78,3305.59,0.86896,0.46682,1.04878,0.96961,0.96053,0.96176,0.72787,0.71294,0.36747,1.03138,0.00427565,0.00427565,0.00427565
